收书日期,印次出版日期,库区,书名,印次,单价,实收数量,码洋
1/20/2018,12/1/2017,WX,送审 山西专版 数学 伴你成长 二年级下册 北师大版,1-3,11.51,75,863.25
1/20/2018,12/27/2017,WX,送审河北 课堂精练 语文 三年级下册 北师大版,4-4,8.55,395,3377.25
1/20/2018,12/27/2017,WX,送审 河北 课堂精练 数学 六年级下册 北师大版 单色,1-3,8.55,1915,16373.25
1/20/2018,12/19/2017,WX,送审 河北 课堂精练 数学 五年级下册 北师大版 单色,1-3,8.05,1435,11551.75
1/20/2018,12/22/2017,WX,送审 河北 课堂精练 数学 三年级下册 北师大版 单色,1-3,8.05,555,4467.75
1/20/2018,12/25/2017,WX,送审河北 课堂精练 生物 七年级下册 北师大版 单色（第2版）,2-2,8.1,2195,17779.5
1/20/2018,1/9/2018,WX,送审 山西专版 课堂精练 历史 九年级下册 北师大版（第2版）,2-2,14.79,555,8208.45
1/20/2018,12/13/2017,WX,送审山西 课堂精练 数学 一年级下册 北师大版 增强版,1-4,10.58,955,10103.9
1/20/2018,12/15/2017,WX,送审山西 课堂精练 数学 六年级下册 北师大版 增强版,1-3,13.83,331,4577.73
1/20/2018,12/15/2017,WX,送审山西 课堂精练 数学 四年级下册 北师大版 增强版,1-3,14.42,667,9618.14
1/20/2018,12/13/2017,WX,送审山西 课堂精练 数学 二年级下册 北师大版 增强版,1-4,11.82,1075,12706.5
1/20/2018,12/15/2017,WX,送审山西 课堂精练 数学 三年级下册 北师大版 增强版,1-3,14.42,835,12040.7
1/20/2018,12/15/2017,WX,送审 山西专版 课堂精练 数学 七年级下册 北师大版（第2版）,2-1,17.56,347,6093.32
1/20/2018,12/15/2017,WX,送审山西 课堂精练 数学 五年级下册 北师大版 增强版,1-3,14.42,779,11233.18
1/20/2018,12/18/2017,WX,送审 伴你学 数学 七年级下册 北师大版 （第7版）,7-1,19.31,1139,21994.09
1/20/2018,12/18/2017,WX,送审 伴你学 数学 八年级下册 北师大版 （第8版）,8-1,19.31,259,5001.29
1/22/2018,1/2/2018,WX,送审河北 课堂精练 语文 四年级下册 北师大版,4-4,8.55,282,2411.1
1/22/2018,1/3/2018,WX,送审河北 课堂精练 语文 六年级下册 北师大版,4-4,8.55,795,6797.25
1/22/2018,1/3/2018,WX,送审河北 课堂精练 语文 五年级下册 北师大版,4-4,8.55,955,8165.25
1/22/2018,1/4/2018,WX,送审天津 小学同步测控优化设计 数学 六年级下册 北师大版（第5版）,5-3,8.09,6750,54607.5
1/22/2018,12/29/2017,WX,国标教材 数学 伴你成长 一年级下册 北师大版,6-4,11.5,31218,359007
1/22/2018,12/29/2017,WX,国标教材 数学 伴你成长 五年级下册 北师大版,4-4,15,5060,75900
1/22/2018,1/4/2018,WX,送审天津 小学同步测控优化设计 数学 三年级下册 北师大版（第5版）,5-3,8.09,7800,63102
1/22/2018,1/4/2018,WX,送审天津 小学同步测控优化设计 数学 四年级下册 北师大版（第5版）,5-3,8.09,7320,59218.8
1/22/2018,1/4/2018,WX,送审天津 小学同步测控优化设计 数学 五年级下册 北师大版（第5版）,5-3,8.09,7250,58652.5
1/22/2018,12/22/2017,WX,送审广东 初中同步测控优化设计 生物 八年级下册 北师大版（第5版）,5-2,10.04,5680,57027.2
1/22/2018,12/25/2017,WX,送审广东 初中同步测控优化设计 生物 七年级下册 北师大版（第6版）,6-2,10.09,5520,55696.8
1/22/2018,12/29/2017,WX,国标教材 数学 伴你成长 三年级下册 北师大版,4-4,16.5,4900,80850
1/22/2018,12/22/2017,WX,送审 广东专版 初中总复习优化设计 生物 北师大版（第2版）,2-2,20.37,6120,124664.4
1/23/2018,1/12/2018,WX,北师大作业本 数学 一年级下册 北师大版 单色,1-7,9.8,25800,252840
1/23/2018,1/11/2018,WX,送审云南 课堂精练 数学 七年级下册 北师大版 双色,1-8,12.58,37800,475524
1/23/2018,1/15/2018,WX,北师大作业本 数学 二年级下册 北师大版 单色,1-6,9.8,19000,186200
1/23/2018,1/12/2018,WX,天津 北师大作业本 数学 一年级下册 北师大版 单色,1-6,13,9800,127400
1/23/2018,1/8/2018,WX,送审辽宁 课内课外直通车 数学 四年级下册 北师大版,1-2,12.81,220,2818.2
1/23/2018,1/11/2018,WX,送审 辽宁 课内课外直通车 语文 六年级下册,1-2,12.16,170,2067.2
1/23/2018,1/9/2018,WX,送审 辽宁 课内课外直通车 语文 四年级下册,1-2,10.86,220,2389.2
1/23/2018,1/8/2018,WX,送审辽宁 课内课外直通车 数学 三年级下册 北师大版,1-2,12.81,250,3202.5
1/23/2018,1/8/2018,WX,送审辽宁 课内课外直通车 数学 五年级下册 北师大版,1-2,12.81,270,3458.7
1/23/2018,1/11/2018,WX,送审 辽宁 课内课外直通车 语文 五年级下册,1-2,12.16,270,3283.2
